mushroom_id,english_name,local_name,scientific_name,images,edible,poisonous,location_region,location_province,habitat,cap_color,cap_size_cm,gills_present,gills_color,stem_color,stem_length_cm,size_reference,spore_print_color,texture,season_month,cultivated,wild,notes
MUSH001,Pink Oyster Mushroom,Kabuting Saging,Pleurotus_djamor,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,Region 4A,Laguna,wood,pink,8,TRUE,white,white,3,coin_1peso,white,smooth,June-September,TRUE,TRUE,Commonly cultivated on banana trunks and rice straw
MUSH002,Wood Ear Mushroom,Tainga ng Daga,Auricularia_polytricha,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,Region 1,Pangasinan,wood,dark_brown,6,FALSE,none,brown,1,coin_5peso,white,gelatinous,July-October,TRUE,TRUE,Ear-shaped grows on dead wood - used in soups and stir-fry
MUSH003,Termite Mushroom,Puting Kabute,Termitomyces_clypeatus,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,Region 3,Pampanga,soil,white,12,TRUE,white,white,10,ruler_15cm,white,smooth,May-August,FALSE,TRUE,Grows near termite mounds during rainy season - highly prized delicacy
MUSH004,White Oyster Mushroom,Kabute,Pleurotus_ostreatus,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,NCR,Manila,wood,white,10,TRUE,white,white,3,coin_10peso,white,smooth,All_year,TRUE,TRUE,Most commonly cultivated mushroom in Philippines - sold in markets
MUSH005,Straw Mushroom,Kabuting Dayami,Volvariella_volvacea,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,Region 3,Bulacan,straw,gray,7,TRUE,pink,white,5,coin_5peso,pink,smooth,All_year,TRUE,TRUE,Grows on rice straw - popular in Chinese-Filipino cooking
MUSH006,Lingzhi Mushroom,Lingzhi,Ganoderma_lucidum,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,CAR,Benguet,wood,red_brown,15,FALSE,none,brown,8,hand,brown,hard,All_year,TRUE,TRUE,Medicinal mushroom - used for tea not typically eaten fresh - kidney-shaped cap
MUSH007,Enoki Mushroom,Enoki,Flammulina_velutipes,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,Region 2,Isabela,wood,white,2,TRUE,white,white,10,coin_1peso,white,smooth,All_year,TRUE,FALSE,Long thin stems with tiny caps - grows in clusters - popular in Japanese dishes
MUSH008,Shiitake Mushroom,Shiitake,Lentinula_edodes,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,Region 4A,Cavite,wood,brown,7,TRUE,cream,brown,4,coin_5peso,white,smooth,All_year,TRUE,FALSE,Popular cultivated variety - brown umbrella-shaped cap with white scales
MUSH009,Common Split Gill,Kabuting Puno,Schizophyllum_commune,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,Region 8,Leyte,wood,white_gray,3,TRUE,split_gills,white,1,coin_1peso,white,leathery,All_year,FALSE,TRUE,Small fan-shaped mushroom with uniquely split gills - very common on dead wood - edible when young
MUSH010,Milky Mushroom,Kabuting Gatas,Calocybe_indica,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",TRUE,FALSE,Region 7,Cebu,compost,white,10,TRUE,white,white,7,coin_10peso,white,smooth,All_year,TRUE,FALSE,Large white mushroom - grows well in tropical climate - heat tolerant variety
