mushroom_id,english_name,local_name,scientific_name,edible,poisonous,location_region,location_province,habitat,cap_color,cap_size_cm,gills_present,gills_color,stem_color,stem_length_cm,size_reference,spore_print_color,texture,season_month,cultivated,wild,notes
1,Wood Ear Mushroom,Tainga ng Daga,Auricularia_polytricha,TRUE,FALSE,Region 1,Pangasinan,wood,dark_brown,6,FALSE,none,brown,1,coin_5peso,white,gelatinous,July-October,TRUE,TRUE,Ear-shaped grows on dead wood - used in soups and stir-fry
2,White Oyster Mushroom,Kabute,Pleurotus_ostreatus,TRUE,FALSE,NCR,Manila,wood,white,10,TRUE,white,white,3,coin_10peso,white,smooth,All_year,TRUE,TRUE,Most commonly cultivated mushroom in Philippines - sold in markets
3,Enoki Mushroom,Enoki,Flammulina_velutipes,TRUE,FALSE,Region 2,Isabela,wood,white,2,TRUE,white,white,10,coin_1peso,white,smooth,All_year,TRUE,FALSE,Long thin stems with tiny caps - grows in clusters - popular in Japanese dishes
4,Shiitake Mushroom,Shiitake,Lentinula_edodes,TRUE,FALSE,Region 4A,Cavite,wood,brown,7,TRUE,cream,brown,4,coin_5peso,white,smooth,All_year,TRUE,FALSE,Popular cultivated variety - brown umbrella-shaped cap with white scales
5,Death Cap,Kabuting Nakamamatay,Amanita_phalloides,FALSE,TRUE,Region 4A,Cavite,forest,greenish_white,10,TRUE,white,white,12,coin_10peso,white,smooth,June-November,FALSE,TRUE,⚠️ EXTREMELY DEADLY - Contains amatoxins - Can be confused with edible mushrooms - Causes liver failure - DO NOT EAT
6,False Morel,Kabuting Utak,Gyromitra_esculenta,FALSE,TRUE,CAR,Benguet,forest,reddish_brown,8,FALSE,none,white,5,coin_10peso,white,wrinkled,March-May,FALSE,TRUE,⚠️ DEADLY - Brain-like wrinkled cap - Contains gyromitrin - Can be fatal even when cooked - Found in pine forests
7,Jack O Lantern Mushroom,Kabuting Nagniningning,Omphalotus_olearius,FALSE,TRUE,Region 4B,Quezon,wood,orange,12,TRUE,orange,orange,8,hand,cream,smooth,June-November,FALSE,TRUE,⚠️ POISONOUS - Bright orange color - Gills glow in the dark - Causes severe cramps and vomiting - Often confused with chanterelles
8,Funeral Bell,Kabuting Libing,Galerina_marginata,FALSE,TRUE,Region 2,Isabela,wood,brown,4,TRUE,brown,brown,6,coin_5peso,rusty_brown,smooth,All_year,FALSE,TRUE,⚠️ EXTREMELY DEADLY - Small brown mushroom - Contains same toxins as Death Cap - Often mistaken for edible mushrooms - Grows on decaying wood
9,Red Cage Fungus,Kabuting Kulungan,Clathrus_ruber,FALSE,TRUE,Region 6,Iloilo,soil,red,8,FALSE,none,red,5,coin_10peso,none,latticed,May-October,FALSE,TRUE,⚠️ NOT EDIBLE - Bright red lattice structure - Foul odor attracts flies - Not technically poisonous but inedible - Very distinctive appearance
10,Button Mushroom,Kabuting Paris,Agaricus_bisporus,TRUE,FALSE,Northern Luzon,Rizal,farms,white-light_brown,3�10,TRUE,brown,white,5,grocery-grade mushroom,dark_brown,smooth,All_year,TRUE,FALSE,Most commonly consumed mushroom globally; same species as cremini and portobello at different maturity stages.
