mushroom_id,english_name,local_name,scientific_name,images,edible,poisonous,location_region,location_province,habitat,cap_color,cap_size_cm,gills_present,gills_color,stem_color,stem_length_cm,size_reference,spore_print_color,texture,season_month,cultivated,wild,notes
MUSH001,Pink Oyster Mushroom,Kabuting Saging,Pleurotus djamor,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,Region 4A,Laguna,wood,pink,8,TRUE,white,white,3,coin_1peso,white,smooth,June-September,TRUE,TRUE,Commonly cultivated on banana trunks and rice straw
MUSH002,Wood Ear Mushroom,Tainga ng Daga,Auricularia polytricha,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,Region 1,Pangasinan,wood,dark_brown,6,FALSE,none,brown,1,coin_5peso,white,gelatinous,July-October,TRUE,TRUE,"Ear-shaped, grows on dead wood - used in soups and stir-fry"
MUSH003,Termite Mushroom,Puting Kabute,Termitomyces clypeatus,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,Region 3,Pampanga,soil,white,12,TRUE,white,white,10,ruler_15cm,white,smooth,May-August,FALSE,TRUE,Grows near termite mounds during rainy season - highly prized delicacy
MUSH004,White Oyster Mushroom,Kabute,Pleurotus ostreatus,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,NCR,Manila,wood,white,10,TRUE,white,white,3,coin_10peso,white,smooth,All_year,TRUE,TRUE,Most commonly cultivated mushroom in Philippines - sold in markets
MUSH005,Straw Mushroom,Kabuting Dayami,Volvariella volvacea,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,Region 3,Bulacan,straw,gray,7,TRUE,pink,white,5,coin_5peso,pink,smooth,All_year,TRUE,TRUE,Grows on rice straw - popular in Chinese-Filipino cooking
MUSH006,Lingzhi Mushroom,Lingzhi,Ganoderma lucidum,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,CAR,Benguet,wood,red_brown,15,FALSE,none,brown,8,hand,brown,hard,All_year,TRUE,TRUE,"Medicinal mushroom - used for tea, not typically eaten fresh - kidney-shaped cap"
MUSH007,Enoki Mushroom,Enoki,Flammulina velutipes,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,Region 2,Isabela,wood,white,2,TRUE,white,white,10,coin_1peso,white,smooth,All_year,TRUE,FALSE,Long thin stems with tiny caps - grows in clusters - popular in Japanese dishes
MUSH008,Shiitake Mushroom,Shiitake,Lentinula edodes,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,Region 4A,Cavite,wood,brown,7,TRUE,cream,brown,4,coin_5peso,white,smooth,All_year,TRUE,FALSE,Popular cultivated variety - brown umbrella-shaped cap with white scales
MUSH010,Milky Mushroom,Kabuting Gatas,Calocybe indica,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",TRUE,FALSE,Region 7,Cebu,compost,white,10,TRUE,white,white,7,coin_10peso,white,smooth,All_year,TRUE,FALSE,Large white mushroom - grows well in tropical climate - heat tolerant variety
MUSH011,Death Cap,Kabuting Nakamamatay,Amanita phalloides,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",FALSE,TRUE,Region 4A,Cavite,forest,greenish_white,10,TRUE,white,white,12,coin_10peso,white,smooth,June-November,FALSE,TRUE,⚠️ EXTREMELY DEADLY - Contains amatoxins - Can be confused with edible mushrooms - Causes liver failure - DO NOT EAT
MUSH012,Green Spored Parasol,Kabuting Luntian,Chlorophyllum molybdites,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",FALSE,TRUE,Region 3,Pampanga,soil,white_brown_scales,15,TRUE,white_turns_green,white,10,ruler_15cm,green,scaly,May-October,FALSE,TRUE,⚠️ POISONOUS - Green spore print is key identifier - Causes severe gastrointestinal distress - Often found on lawns after rain - Looks like edible parasol mushroom
MUSH013,False Morel,Kabuting Utak,Gyromitra esculenta,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",FALSE,TRUE,CAR,Benguet,forest,reddish_brown,8,FALSE,none,white,5,coin_10peso,white,wrinkled,March-May,FALSE,TRUE,⚠️ DEADLY - Brain-like wrinkled cap - Contains gyromitrin (rocket fuel component) - Can be fatal even when cooked - Found in pine forests
MUSH014,Jack O Lantern Mushroom,Kabuting Nagniningning,Omphalotus olearius,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",FALSE,TRUE,Region 4B,Quezon,wood,orange,12,TRUE,orange,orange,8,hand,cream,smooth,June-November,FALSE,TRUE,⚠️ POISONOUS - Bright orange color - Gills glow in the dark (bioluminescent) - Causes severe cramps and vomiting - Often confused with chanterelles - Grows in clusters on dead wood
MUSH015,Funeral Bell,Kabuting Libing,Galerina marginata,"[""01.jpg"", ""02.jpg"", ""03.jpg""]",FALSE,TRUE,Region 2,Isabela,wood,brown,4,TRUE,brown,brown,6,coin_5peso,rusty_brown,smooth,All_year,FALSE,TRUE,⚠️ EXTREMELY DEADLY - Small brown mushroom - Contains same toxins as Death Cap - Often mistaken for edible wood-loving mushrooms - Grows on decaying wood - Ring on stem often present
